agent,episodes,avg_return,std_return,clear_rate,avg_steps,avg_broken_bricks,avg_remaining_bricks,avg_blocks_per_100_steps,avg_wall_clock_sec,avg_plan_time_ms
Random,5,467.43800000000203,269.86834563542396,0.0,256.2,2.6,79.4,1.046244726779817,0.022955630999058486,0.0
FollowBall,5,16296.327999997917,20.87683635086527,1.0,10367.2,82.0,0.0,0.8232066722059062,0.5264892226085067,0.0
CEM-MPC,5,16204.977999997669,178.3446978638192,0.8,11502.2,81.6,0.4,0.7453853825323987,12917.315522862587,1187.3643528308385
