seed,follow_bricks,cem_bricks,delta_bricks,follow_clear,cem_clear,follow_steps,cem_steps,delta_steps,follow_blk100,cem_blk100,verdict,committed_contact_rate,committed_shots
0,82,82,0,1,1,8127,8127,0,1.0089824043312414,1.0089824043312414,TIE,0.0,0.0
1,81,81,0,0,0,10000,10000,0,0.8099999999999999,0.8099999999999999,TIE,0.0,0.0
2,82,82,0,1,1,9734,9734,0,0.84240805424286,0.84240805424286,TIE,0.0,0.0
3,82,82,0,1,1,8312,8312,0,0.9865255052935515,0.9865255052935515,TIE,0.0,0.0
4,78,78,0,0,0,10000,10000,0,0.7799999999999999,0.7799999999999999,TIE,0.0,0.0
