episode,env_seed,obs_mode,network_type,dueling,double_dqn,per,n_step,lexicographic,return,steps,score,broken_bricks,remaining_bricks,clear,lives,terminal_reason,epsilon,loss,td_error_abs_mean,q_mean,q_max,replay_size,global_step,wall_clock_sec
30,30,hybrid,cnn,1,1,0,1,0,149.0600000000005,94,1,1,81,0,0,no_lives,0.858982,6.411749550636778,6.644823424359585,27.19136562753231,512.4587278974817,7422,7422,0.573183199041523
31,31,hybrid,cnn,1,1,0,1,0,148.92000000000058,108,1,1,81,0,0,no_lives,0.85693,6.166964932724282,6.401681301770387,27.69282563527425,495.1859912165889,7530,7530,0.5981573190074414
32,32,hybrid,cnn,1,1,0,1,0,149.0700000000005,93,1,1,81,0,0,no_lives,0.855163,6.053864704665317,6.284420726119831,27.42841535998929,520.6688332506405,7623,7623,0.5274457230116241
33,33,hybrid,cnn,1,1,0,1,0,149.13000000000048,87,1,1,81,0,0,no_lives,0.85351,6.256473691984155,6.484823722948973,27.2662028608651,513.8844548367906,7710,7710,0.48687292798422277
34,34,hybrid,cnn,1,1,0,1,0,148.54000000000076,146,1,1,81,0,0,no_lives,0.8507359999999999,5.936060330639147,6.16295904166078,26.435582892535486,490.5559207445955,7856,7856,0.8186772899935022
35,35,hybrid,cnn,1,1,0,1,0,149.00000000000054,100,1,1,81,0,0,no_lives,0.848836,6.0558175015449525,6.27910810470581,26.528119583129882,486.6295651245117,7956,7956,0.5667128299828619
36,36,hybrid,cnn,1,1,0,1,0,149.04000000000053,96,1,1,81,0,0,no_lives,0.847012,6.357328034937382,6.5863136276602745,26.74986696243286,517.6338122685751,8052,8052,0.5429849689826369
37,37,hybrid,cnn,1,1,0,1,0,149.13000000000048,87,1,1,81,0,0,no_lives,0.845359,5.9667636937108535,6.192945461163576,27.86068949206122,551.4692284595008,8139,8139,0.48870955099118873
38,38,hybrid,cnn,1,1,0,1,0,1542.130000000007,787,8,8,74,0,0,no_lives,0.830406,5.984188529103048,6.218306916187195,28.569870455595257,521.30127207115,8926,8926,4.429097476997413
39,39,hybrid,cnn,1,1,0,1,0,946.8600000000026,314,5,5,77,0,0,no_lives,0.8244400000000001,6.438722929377465,6.682697782850569,30.45538118690442,531.8896176283527,9240,9240,1.8409977279952727
40,40,hybrid,cnn,1,1,0,1,0,149.13000000000048,87,1,1,81,0,0,no_lives,0.8227869999999999,6.374208899750107,6.62046245048786,31.90271802880298,543.395167208266,9327,9327,0.48206140397815034
41,41,hybrid,cnn,1,1,0,1,0,149.0600000000005,94,1,1,81,0,0,no_lives,0.821001,6.156389690460043,6.399460130549492,30.92686450227778,534.3864660060152,9421,9421,0.5412475150078535
42,42,hybrid,cnn,1,1,0,1,0,149.0600000000005,94,1,1,81,0,0,no_lives,0.819215,5.9461599005029555,6.191411008226111,30.67493682212018,541.6507485572328,9515,9515,0.5282233489560895
43,43,hybrid,cnn,1,1,0,1,0,747.2400000000022,276,4,4,78,0,0,no_lives,0.813971,6.032176162021748,6.27937121235806,30.30568113188813,524.2786689426588,9791,9791,1.568630049994681
44,44,hybrid,cnn,1,1,0,1,0,148.31000000000085,169,1,1,81,0,0,no_lives,0.81076,6.067622413296672,6.313518222267105,30.306587377243492,526.3959430039987,9960,9960,0.9521568570053205
45,45,hybrid,cnn,1,1,0,1,0,149.21000000000043,79,1,1,81,0,0,no_lives,0.8092590000000001,6.156391539151156,6.401370652114289,32.1715593458731,540.1040881193137,10039,10039,0.44642022502375767
46,46,hybrid,cnn,1,1,0,1,0,148.92000000000058,108,1,1,81,0,0,no_lives,0.807207,6.545308978469284,6.786563811478792,32.343568077793826,552.6740533334238,10147,10147,0.6127447350299917
47,47,hybrid,cnn,1,1,0,1,0,149.14000000000047,86,1,1,81,0,0,no_lives,0.805573,6.031631766363632,6.274429681689241,32.24005900981815,516.599082414494,10233,10233,0.48559897602535784
48,48,hybrid,cnn,1,1,0,1,0,149.13000000000048,87,1,1,81,0,0,no_lives,0.80392,5.776218069010768,6.017234947489596,32.07149599886488,541.7226778227707,10320,10320,0.4868781960103661
49,49,hybrid,cnn,1,1,0,1,0,149.13000000000048,87,1,1,81,0,0,no_lives,0.8022670000000001,5.991661915833923,6.23370153328468,32.43853691802628,539.171276925624,10407,10407,0.4932495219982229
50,50,hybrid,cnn,1,1,0,1,0,149.14000000000047,86,1,1,81,0,0,no_lives,0.800633,6.088797142339307,6.327532887458801,31.714389823203863,533.9687127401662,10493,10493,0.48760336003033444
51,51,hybrid,cnn,1,1,0,1,0,148.96000000000058,104,1,1,81,0,0,no_lives,0.798657,5.951977422604194,6.194869215671833,31.457630285849937,511.80435033944934,10597,10597,0.5878428060095757
52,52,hybrid,cnn,1,1,0,1,0,149.23000000000042,77,1,1,81,0,0,no_lives,0.797194,5.779767107653927,6.019836949063586,31.802235318468764,578.120927290483,10674,10674,0.4323886689962819
53,53,hybrid,cnn,1,1,0,1,0,546.030000000003,397,3,3,79,0,0,no_lives,0.789651,6.20330610743698,6.44554241478293,31.9732143584667,559.9697407835376,11071,11071,2.244031956011895
54,54,hybrid,cnn,1,1,0,1,0,149.0800000000005,92,1,1,81,0,0,no_lives,0.787903,6.360158103963603,6.600474489771801,33.89318321062171,620.7842662645423,11163,11163,0.5185098929796368
55,55,hybrid,cnn,1,1,0,1,0,149.13000000000048,87,1,1,81,0,0,no_lives,0.78625,6.535617521439476,6.774848702310146,34.10853697239668,568.3113729542699,11250,11250,0.49019676202442497
56,56,hybrid,cnn,1,1,0,1,0,148.97000000000057,103,1,1,81,0,0,no_lives,0.784293,5.800282480647263,6.042223988227474,34.509201920148236,619.5281072820275,11353,11353,0.5812803109874949
57,57,hybrid,cnn,1,1,0,1,0,149.0900000000005,91,1,1,81,0,0,no_lives,0.782564,6.102668445188921,6.343298705069573,34.03532698914245,589.3487887539707,11444,11444,0.5141373010119423
58,58,hybrid,cnn,1,1,0,1,0,548.3700000000011,163,3,3,79,0,0,no_lives,0.779467,6.048787371512571,6.290209394291135,33.90378998832469,603.9457427416843,11607,11607,0.9119624349987134
59,59,hybrid,cnn,1,1,0,1,0,149.26000000000042,74,1,1,81,0,0,no_lives,0.778061,5.962373501545674,6.206922943527634,33.72023025718895,562.0843023351721,11681,11681,0.423015671025496
60,60,hybrid,cnn,1,1,0,1,0,348.88000000000056,112,2,2,80,0,0,no_lives,0.775933,5.947213502866881,6.188891525779452,33.76331302097866,611.5527869633266,11793,11793,0.6264660370070487
61,61,hybrid,cnn,1,1,0,1,0,548.0700000000014,193,3,3,79,0,0,no_lives,0.772266,6.129101120746197,6.371843233009694,34.07237059835325,633.0711358421207,11986,11986,1.0941352979862131
62,62,hybrid,cnn,1,1,0,1,0,149.26000000000042,74,1,1,81,0,0,no_lives,0.77086,6.553992919019751,6.797239815866625,34.32428254307927,621.6797151307802,12060,12060,0.4156828710110858
63,63,hybrid,cnn,1,1,0,1,0,149.30000000000038,70,1,1,81,0,0,no_lives,0.76953,6.574280319895063,6.821198572431292,35.74747423444475,607.8768184116908,12130,12130,0.3928063450148329
64,64,hybrid,cnn,1,1,0,1,0,149.01000000000053,99,1,1,81,0,0,no_lives,0.767649,6.2868777429214635,6.525484877403336,34.56948700336495,636.4426263366082,12229,12229,0.5614866790128872
65,65,hybrid,cnn,1,1,0,1,0,148.46000000000078,154,1,1,81,0,0,no_lives,0.764723,6.445024970289949,6.687908620029301,36.11635759279326,672.0938762318004,12383,12383,0.8706652309629135
66,66,hybrid,cnn,1,1,0,1,0,149.0600000000005,94,1,1,81,0,0,no_lives,0.762937,5.647572971404867,5.886750680335025,35.20277632043717,657.8820638453707,12477,12477,0.5428455919609405
67,67,hybrid,cnn,1,1,0,1,0,149.03000000000054,97,1,1,81,0,0,no_lives,0.761094,6.069381890837679,6.3119977282494615,35.39321106979527,704.6300171527666,12574,12574,0.6214103079983033
68,68,hybrid,cnn,1,1,0,1,0,149.2800000000004,72,1,1,81,0,0,no_lives,0.759726,6.095699962642458,6.337240219116211,35.81985719998678,607.0739601982964,12646,12646,0.4084668830037117
69,69,hybrid,cnn,1,1,0,1,0,149.21000000000043,79,1,1,81,0,0,no_lives,0.758225,6.0505400850803035,6.288436032548735,34.37636274023901,698.8712505871737,12725,12725,0.44323108094977215
70,70,hybrid,cnn,1,1,0,1,0,149.16000000000045,84,1,1,81,0,0,no_lives,0.756629,5.993499332950229,6.236299801440466,35.025770482562834,656.039299374535,12809,12809,0.4861064919969067
71,71,hybrid,cnn,1,1,0,1,0,546.4600000000029,354,3,3,79,0,0,no_lives,0.749903,6.227539201240755,6.471234312165255,36.489790711699236,690.9879183149607,13163,13163,2.0122215460287407
72,72,hybrid,cnn,1,1,0,1,0,148.93000000000058,107,1,1,81,0,0,no_lives,0.74787,6.039243281444657,6.2827189815378635,37.36042634126182,675.2328231668918,13270,13270,0.6117460749810562
73,73,hybrid,cnn,1,1,0,1,0,149.18000000000046,82,1,1,81,0,0,no_lives,0.7463120000000001,5.937139877458898,6.1820663911540334,37.05384256781601,743.6371087795351,13352,13352,0.4719722490408458
74,74,hybrid,cnn,1,1,0,1,0,149.04000000000053,96,1,1,81,0,0,no_lives,0.744488,5.939427599310875,6.188025248547395,37.13696104288101,703.053718884786,13448,13448,0.5443157160189003
75,75,hybrid,cnn,1,1,0,1,0,1745.1600000000042,484,9,9,73,0,0,no_lives,0.7352920000000001,6.035352981287586,6.283720330758528,36.816040898157546,679.535093449364,13932,13932,2.75085280102212
76,76,hybrid,cnn,1,1,0,1,0,149.16000000000045,84,1,1,81,0,0,no_lives,0.733696,6.089786662941887,6.340914181300572,36.14854299454462,630.2928706577846,14016,14016,0.4802747470093891
77,77,hybrid,cnn,1,1,0,1,0,149.0900000000005,91,1,1,81,0,0,no_lives,0.731967,6.330239146620363,6.58529454273182,37.52483399359735,646.8351447136847,14107,14107,0.5178040949977003
78,78,hybrid,cnn,1,1,0,1,0,748.1300000000015,187,4,4,78,0,0,no_lives,0.728414,6.332300966436213,6.591651968777499,38.147205658774965,695.6910849178539,14294,14294,1.0629602689878084
79,79,hybrid,cnn,1,1,0,1,0,148.9100000000006,109,1,1,81,0,0,no_lives,0.726343,6.34276409324156,6.606574600989665,38.88915401423743,717.6430980437392,14403,14403,0.6236727660289034
80,80,hybrid,cnn,1,1,0,1,0,1143.8100000000054,619,6,6,76,0,0,no_lives,0.714582,6.0876185412553285,6.34521768435908,37.95735166300094,698.9532638820963,15022,15022,3.5233699720120057
81,81,hybrid,cnn,1,1,0,1,0,7137.859999999895,1214,36,36,46,0,0,no_lives,0.691516,6.859415079459327,7.1248673766213155,42.808631208818866,777.2024968004305,16236,16236,6.725330993998796
82,82,hybrid,cnn,1,1,0,1,0,149.05000000000052,95,1,1,81,0,0,no_lives,0.689711,7.5793710005910775,7.853366465317576,48.614690800717,813.6444310238487,16331,16331,0.539893573964946
83,83,hybrid,cnn,1,1,0,1,0,1541.920000000007,808,8,8,74,0,0,no_lives,0.674359,7.323789867729244,7.5987823458001165,47.48745704877494,832.8482939087519,17139,17139,4.559236513974611
84,84,hybrid,cnn,1,1,0,1,0,149.17000000000044,83,1,1,81,0,0,no_lives,0.672782,7.256067988384201,7.533324787415654,49.78471484816218,864.3025358269014,17222,17222,0.4730060619767755
85,85,hybrid,cnn,1,1,0,1,0,346.6500000000024,335,2,2,80,0,0,no_lives,0.666417,7.138193043666099,7.415414852170802,48.29700143159325,814.7651526607684,17557,17557,1.9073434739839286
86,86,hybrid,cnn,1,1,0,1,0,149.14000000000047,86,1,1,81,0,0,no_lives,0.664783,7.250519247942193,7.532062297643617,49.343548042829646,818.0663178909657,17643,17643,0.48898888600524515
87,87,hybrid,cnn,1,1,0,1,0,149.26000000000042,74,1,1,81,0,0,no_lives,0.6633770000000001,7.101426292110133,7.379654481604293,49.088501904461836,879.8771428288641,17717,17717,0.4265316189848818
88,88,hybrid,cnn,1,1,0,1,0,545.4900000000038,451,3,3,79,0,0,no_lives,0.6548080000000001,7.452396439871609,7.731763519891879,50.622786790462925,867.0474593676379,18168,18168,2.580461540957913
89,89,hybrid,cnn,1,1,0,1,0,149.26000000000042,74,1,1,81,0,0,no_lives,0.653402,7.375378834234701,7.651520600190034,52.05980677218051,849.2386058085674,18242,18242,0.42235216102562845
90,90,hybrid,cnn,1,1,0,1,0,545.3600000000039,464,3,3,79,0,0,no_lives,0.644586,7.399339609618845,7.6802449914915805,52.43698864147581,872.2016817290207,18706,18706,2.6498258659848943
91,91,hybrid,cnn,1,1,0,1,0,1344.3800000000047,562,7,7,75,0,0,no_lives,0.633908,7.448631453344406,7.734085919594001,54.37754171514002,944.5626012184442,19268,19268,3.1946856169961393
92,92,hybrid,cnn,1,1,0,1,0,149.13000000000048,87,1,1,81,0,0,no_lives,0.632255,7.467358161663187,7.755052358254619,56.14334237986598,940.2340557931484,19355,19355,0.49871089204680175
93,93,hybrid,cnn,1,1,0,1,0,148.99000000000055,101,1,1,81,0,0,no_lives,0.630336,7.581475519897914,7.870992858811181,56.30569941454595,951.5376737991182,19456,19456,0.5819543600082397
94,94,hybrid,cnn,1,1,0,1,0,149.14000000000047,86,1,1,81,0,0,no_lives,0.628702,7.79783105018527,8.085235274115274,53.51953142742778,898.1351659020712,19542,19542,0.49177443503867835
95,95,hybrid,cnn,1,1,0,1,0,149.2800000000004,72,1,1,81,0,0,no_lives,0.6273340000000001,7.820221334695816,8.109669109185537,55.486916065216064,1008.2857191297743,19614,19614,0.41457788296975195
96,96,hybrid,cnn,1,1,0,1,0,149.14000000000047,86,1,1,81,0,0,no_lives,0.6256999999999999,7.451051501340644,7.7408775396125264,55.01708691619163,907.2355194091797,19700,19700,0.49681595899164677
97,97,hybrid,cnn,1,1,0,1,0,149.0900000000005,91,1,1,81,0,0,no_lives,0.623971,7.535741056714739,7.824576582227435,54.97859418261182,839.7634609348171,19791,19791,0.520184397988487
98,98,hybrid,cnn,1,1,0,1,0,149.0800000000005,92,1,1,81,0,0,no_lives,0.622223,7.648223923600239,7.937366003575533,54.49413100532863,886.5305305149244,19883,19883,0.5298585870186798
99,99,hybrid,cnn,1,1,0,1,0,149.23000000000042,77,1,1,81,0,0,no_lives,0.62076,7.05527375890063,7.342156784875052,54.57132230486189,986.5012222884537,19960,19960,0.4427571849664673
100,100,hybrid,cnn,1,1,0,1,0,149.0800000000005,92,1,1,81,0,0,no_lives,0.619012,8.006153184434641,8.289237063864004,57.10993190433668,965.164378290591,20052,20052,0.5350369430379942
101,101,hybrid,cnn,1,1,0,1,0,148.97000000000057,103,1,1,81,0,0,no_lives,0.617055,7.8751204453625725,8.153783316751129,58.84772939589417,1081.4763639875987,20155,20155,0.5953374960226938
102,102,hybrid,cnn,1,1,0,1,0,547.0700000000023,293,3,3,79,0,0,no_lives,0.611488,7.414191735889317,7.699335599515218,57.228826880861874,993.4253682732175,20448,20448,1.6783221999648958
103,103,hybrid,cnn,1,1,0,1,0,348.93000000000063,107,2,2,80,0,0,no_lives,0.6094550000000001,7.331100884999071,7.617958153519675,55.99536161333601,977.6314049836631,20555,20555,0.6154144830070436
104,104,hybrid,cnn,1,1,0,1,0,2142.009999999984,799,11,11,71,0,0,no_lives,0.594274,7.945137949252457,8.231108701870648,59.09585042292245,1034.6105629320587,21354,21354,4.564753082988318
105,105,hybrid,cnn,1,1,0,1,0,149.2900000000004,71,1,1,81,0,0,no_lives,0.592925,8.264344994450958,8.555172423241844,61.74277114868164,1006.4596166476398,21425,21425,0.40828142198733985
106,106,hybrid,cnn,1,1,0,1,0,148.8600000000006,114,1,1,81,0,0,no_lives,0.590759,8.09277217848259,8.381482304188243,61.4845576035349,968.653604340135,21539,21539,0.655172357975971
107,107,hybrid,cnn,1,1,0,1,0,149.20000000000044,80,1,1,81,0,0,no_lives,0.5892390000000001,7.9482492983341215,8.239716070890427,62.85735764503479,1046.9974990844726,21619,21619,0.4672332979971543
108,108,hybrid,cnn,1,1,0,1,0,149.0800000000005,92,1,1,81,0,0,no_lives,0.587491,8.318162863669189,8.607747845027758,62.29853497380795,1090.7992885423744,21711,21711,0.5343523580231704
109,109,hybrid,cnn,1,1,0,1,0,149.2800000000004,72,1,1,81,0,0,no_lives,0.586123,7.781426734394497,8.071592377291786,61.96453274620904,992.2256927490234,21783,21783,0.41728942102054134
110,110,hybrid,cnn,1,1,0,1,0,149.01000000000053,99,1,1,81,0,0,no_lives,0.584242,7.641034795780374,7.931635090799043,59.63078396729749,1046.3281139026988,21882,21882,0.575964503979776
111,111,hybrid,cnn,1,1,0,1,0,347.6200000000018,238,2,2,80,0,0,no_lives,0.57972,8.09107105471507,8.378371593331089,62.529508462473125,1036.127685546875,22120,22120,1.3844967269687913
112,112,hybrid,cnn,1,1,0,1,0,148.53000000000074,147,1,1,81,0,0,no_lives,0.576927,8.0220255721994,8.307516808412513,63.3924432871293,1037.7086162956393,22267,22267,0.859897275979165
113,113,hybrid,cnn,1,1,0,1,0,348.22000000000094,178,2,2,80,0,0,no_lives,0.573545,8.087728243195608,8.373792085754737,63.44416922665714,1105.3886449578104,22445,22445,1.039676993037574
114,114,hybrid,cnn,1,1,0,1,0,149.01000000000053,99,1,1,81,0,0,no_lives,0.571664,8.005502291400024,8.294886396388815,62.698662189522175,1003.5469277121804,22544,22544,0.5705932730343193
115,115,hybrid,cnn,1,1,0,1,0,149.11000000000047,89,1,1,81,0,0,no_lives,0.5699730000000001,8.273274368114686,8.565295283714038,64.09474259280087,1020.1167057337386,22633,22633,0.5166285980376415
116,116,hybrid,cnn,1,1,0,1,0,149.14000000000047,86,1,1,81,0,0,no_lives,0.568339,8.225149021592252,8.516067942907643,64.34391500783521,1070.7416534423828,22719,22719,0.4967626970028505
117,117,hybrid,cnn,1,1,0,1,0,148.96000000000058,104,1,1,81,0,0,no_lives,0.5663630000000001,7.708265020297124,7.997306177249322,63.26633002207829,1065.31062404926,22823,22823,0.6069199749617837
118,118,hybrid,cnn,1,1,0,1,0,149.11000000000047,89,1,1,81,0,0,no_lives,0.5646720000000001,7.689230425973957,7.9770567229624545,63.19214385814881,1111.1995448423236,22912,22912,0.5167668350040913
119,119,hybrid,cnn,1,1,0,1,0,149.05000000000052,95,1,1,81,0,0,no_lives,0.562867,8.289177181846217,8.579869435962879,63.43783998991314,1128.1814851459703,23007,23007,0.550876758992672
120,120,hybrid,cnn,1,1,0,1,0,148.94000000000057,106,1,1,81,0,0,no_lives,0.560853,8.527287163824406,8.808365821838379,65.40110444122891,1146.4773467441776,23113,23113,0.6106453870306723
121,121,hybrid,cnn,1,1,0,1,0,149.16000000000045,84,1,1,81,0,0,no_lives,0.559257,8.422692162649971,8.70385491847992,65.54636392139253,1241.1891824631464,23197,23197,0.48936849902383983
122,122,hybrid,cnn,1,1,0,1,0,148.98000000000056,102,1,1,81,0,0,no_lives,0.557319,8.128365591460584,8.412109094507555,65.86915491141525,1209.3398323807062,23299,23299,0.5915793720050715
123,123,hybrid,cnn,1,1,0,1,0,148.99000000000055,101,1,1,81,0,0,no_lives,0.5554,8.122992350323365,8.406725633262408,65.0349589810513,1108.4429768477337,23400,23400,0.5820523810107261
124,124,hybrid,cnn,1,1,0,1,0,149.13000000000048,87,1,1,81,0,0,no_lives,0.553747,8.157431739500199,8.443713467696618,65.83699859969917,1136.5103580869477,23487,23487,0.5026261919992976
125,125,hybrid,cnn,1,1,0,1,0,149.05000000000052,95,1,1,81,0,0,no_lives,0.551942,7.808069836465936,8.094745751431114,64.63776502107319,1062.5353689093338,23582,23582,0.5574703639722429
126,126,hybrid,cnn,1,1,0,1,0,148.56000000000074,144,1,1,81,0,0,no_lives,0.5492060000000001,8.45758691098955,8.745745602581236,66.06233827273051,1169.7481808132595,23726,23726,0.8422134190332144
127,127,hybrid,cnn,1,1,0,1,0,348.2400000000009,176,2,2,80,0,0,no_lives,0.5458620000000001,7.615815528414466,7.9035436321388595,65.54134251854636,1127.9786588495429,23902,23902,1.0294724879786372
128,128,hybrid,cnn,1,1,0,1,0,946.0700000000033,393,5,5,77,0,0,no_lives,0.538395,8.54966183533802,8.833809406096092,68.47765479439694,1220.908775970226,24295,24295,2.285898022004403
129,129,hybrid,cnn,1,1,0,1,0,149.0600000000005,94,1,1,81,0,0,no_lives,0.536609,8.737581395088359,9.024049687892832,69.5687001410951,1301.4060350783327,24389,24389,0.5478219740325585
130,130,hybrid,cnn,1,1,0,1,0,149.02000000000052,98,1,1,81,0,0,no_lives,0.5347470000000001,8.552939385783915,8.839748689106532,69.49307282116948,1173.7894657679967,24487,24487,0.5672468990087509
131,131,hybrid,cnn,1,1,0,1,0,149.23000000000042,77,1,1,81,0,0,no_lives,0.5332840000000001,7.955063522636117,8.241473420873865,68.18865803309849,1106.3768980348266,24564,24564,0.44534363102866337
132,132,hybrid,cnn,1,1,0,1,0,748.3100000000012,169,4,4,78,0,0,no_lives,0.530073,8.554352100078876,8.842588142530452,68.5040206683458,1180.0698150093033,24733,24733,0.9869158959481865
133,133,hybrid,cnn,1,1,0,1,0,148.99000000000055,101,1,1,81,0,0,no_lives,0.528154,8.078594283302232,8.365116473471764,69.0028085614195,1277.281467551052,24834,24834,0.5854055940289982
134,134,hybrid,cnn,1,1,0,1,0,148.99000000000055,101,1,1,81,0,0,no_lives,0.526235,8.643463215025344,8.930922937865304,69.26031535686833,1212.5191535572014,24935,24935,0.5901829830254428
135,135,hybrid,cnn,1,1,0,1,0,149.18000000000046,82,1,1,81,0,0,no_lives,0.5246770000000001,8.134877768958487,8.416618428579191,67.31923633668481,1122.0556238686165,25017,25017,0.47851243999321014
